,id,name,state,country,coord.lon,coord.lat
74361,2804022.0,Zirzow,,DE,13.2,53.583328
74362,2804034.0,Zirndorf,,DE,10.95414,49.442402
74363,2804041.0,Zirkow,,DE,13.55,54.383331
74364,2804042.0,Zirkow,,DE,13.31667,54.366669
74365,2804051.0,Zirchow,,DE,14.13333,53.883331
74366,2804073.0,Zipkeleben,,DE,11.71667,52.099998
74367,2804089.0,Zinzenzell,,DE,12.58333,49.083328
74368,2804091.0,Zintlhammer,,DE,11.91667,49.76667
74369,2804093.0,Zinst,,DE,11.93333,49.900002
74370,2804107.0,Zinnwald-Georgenfeld,,DE,13.76553,50.73708
74371,2804109.0,Ostseebad Zinnowitz,,DE,13.9,54.066669
74372,2804114.0,Zinndorf,,DE,13.91667,52.5
74373,2804121.0,Zinna,,DE,12.95,51.566669
74374,2804122.0,Zinna,,DE,11.73333,50.916672
74375,2804133.0,Zinhain,,DE,7.92775,50.643848
74376,2804135.0,Zingst,,DE,12.68333,54.433331
74377,2804138.0,Zingsheim,,DE,6.65,50.51667
74378,2804144.0,Zimpel,,DE,14.61667,51.333328
74379,2804154.0,Zimmersdorf,,DE,10.48333,49.166672
74380,2804155.0,Zimmerschied,,DE,7.78333,50.349998
74381,2804157.0,Zimmern unter der Burg,,DE,8.71928,48.220531
74382,2804158.0,Zimmernsupra,,DE,10.86667,50.98333
74383,2804159.0,Zimmern ob Rottweil,,DE,8.59436,48.166599
74384,2804161.0,Zimmern,,DE,11.63333,51.0
74385,2804204.0,Zimkendorf,,DE,12.96667,54.283329
74386,2804207.0,Ziltendorf,,DE,14.62411,52.206081
74387,2804208.0,Zilshausen,,DE,7.38333,50.116669
74388,2804210.0,Zilly,,DE,10.81667,51.950001
74389,2804224.0,Zillenberg,,DE,11.06667,48.283329
74390,2804225.0,Zillbeck,,DE,11.16667,52.383331
74391,2804231.0,Ziggelmark,,DE,11.05,53.51667
74392,2804254.0,Ziethen,,DE,13.68333,53.883331
74393,2804255.0,Ziethen,,DE,10.81667,53.700001
74394,2804268.0,Ziesendorf,,DE,12.03333,54.0
74395,2804279.0,Ziesar,,DE,12.28333,52.26667
74396,2804282.0,Zierzow,,DE,11.68333,53.283329
74397,2804283.0,Ziertheim,,DE,10.38333,48.650002
74398,2804285.0,Zierow,,DE,11.36667,53.933331
74399,2804297.0,Zierenberg,,DE,9.30164,51.36948
74400,2804303.0,Ziepel,,DE,11.86667,52.150002
74401,2804313.0,Ziemetshausen,,DE,10.53503,48.292439
74402,2804315.0,Ziemendorf,,DE,11.48333,52.916672
74403,2804316.0,Zielow,,DE,12.68921,53.354912
74404,2804318.0,Zielitz,,DE,11.67572,52.289581
74405,2804337.0,Zieglhof,,DE,11.96754,49.06813
74406,2804368.0,Ziegenrück,,DE,11.65,50.616669
74407,2804391.0,Ziegenhain,,DE,7.53333,50.683331
74408,2804394.0,Ziegenhagen,,DE,9.75,51.366669
74409,2804399.0,Ziegendorf,,DE,11.81667,53.283329
74410,2804400.0,Ziegendorf,,DE,10.75,49.299999
74411,2804401.0,Ziegenburg,,DE,11.65,50.116669
74412,2804405.0,Ziegenberg,,DE,10.01667,52.033329
74413,2804461.0,Ziegelviehbig,,DE,14.76667,50.883331
74414,2804483.0,Ziegelrode,,DE,11.46667,51.549999
74415,2804524.0,Ziegelhof,,DE,7.71667,47.849998
74416,2804549.0,Ziegelheim,,DE,12.55,50.933331
74417,2804554.0,Ziegelhausen,,DE,8.74889,49.425282
74418,2804560.0,Ziegelerden,,DE,11.30613,50.23172
74419,2804602.0,Ziegel,,DE,9.66522,50.510368
74420,2804616.0,Zickhusen,,DE,11.41394,53.758862
74421,2804622.0,Zickeritz,,DE,11.73333,51.633331
74422,2804628.0,Zichtau,,DE,11.3,52.599998
74423,2804630.0,Zichow,,DE,14.03847,53.18927
74424,2804634.0,Zibberick,,DE,11.76667,52.366669
74425,2804642.0,Zeven,,DE,9.28333,53.299999
74426,2804643.0,Zeuzleben,,DE,10.06667,49.98333
74427,2804646.0,Zeuthen,,DE,13.61667,52.366669
74428,2804654.0,Zeulenroda,,DE,11.98333,50.650002
74429,2804664.0,Zeuchfeld,,DE,11.83333,51.23333
74430,2804674.0,Zettlitz,,DE,12.83333,51.066669
74431,2804684.0,Zettingen,,DE,7.2,50.23333
74432,2804686.0,Zettemin,,DE,12.83333,53.650002
74433,2804689.0,Zetta,,DE,13.33333,51.116669
74434,2804692.0,Zethlingen,,DE,11.3,52.700001
74435,2804697.0,Zetel,,DE,7.98333,53.416672
74436,2804700.0,Zessau,,DE,11.91667,49.799999
74437,2804715.0,Zerrenthin,,DE,14.08979,53.49366
74438,2804724.0,Zernitz,,DE,12.36667,52.883331
74439,2804727.0,Zernin,,DE,11.93333,53.799999
74440,2804729.0,Zernien,,DE,10.88325,53.068451
74441,2804732.0,Zernickow,,DE,14.37964,52.521858
74442,2804737.0,Zermüllen,,DE,6.91667,50.299999
74443,2804745.0,Zerf,,DE,6.68333,49.599998
74444,2804748.0,Zerbst,,DE,12.08333,51.966671
74445,2804751.0,Zeppernick,,DE,12.01667,52.116669
74446,2804752.0,Zeppenheim,,DE,6.75771,51.3018
74447,2804756.0,Zepkow,,DE,12.49128,53.30175
74448,2804757.0,Zepfenhan,,DE,8.71409,48.19138
74449,2804759.0,Zepernick,,DE,13.54091,52.650871
74450,2804761.0,Zepelin,,DE,12.04599,53.834801
74451,2804764.0,Zenting,,DE,13.26667,48.799999
74452,2804765.0,Zentendorf,,DE,15.03333,51.283329
74453,2804766.0,Zentbechhofen,,DE,10.9,49.76667
74454,2804768.0,Zens,,DE,11.71667,51.933331
74455,2804773.0,Zennern,,DE,9.3,51.099998
74456,2804784.0,Zendscheid,,DE,6.6,50.099998
74457,2804785.0,Zenching,,DE,12.83333,49.25
74458,2804787.0,Zempin,,DE,13.96667,54.066669
74459,2804788.0,Zemnick,,DE,12.85,51.866669
74460,2804790.0,Zemmin,,DE,13.2593,53.92223
74461,2804791.0,Zemmer,,DE,6.7,49.900002
74462,2804792.0,Zemitz,,DE,13.75,53.98333
74463,2804793.0,Zembschen,,DE,12.1,51.150002
74464,2804796.0,Zeltingen,,DE,7.01667,49.950001
74465,2804803.0,Zell unter Aichelberg,,DE,9.57137,48.648819
74466,2804808.0,Zellingen,,DE,9.81722,49.897781
74467,2804810.0,Zell im Wiesental,,DE,7.85248,47.705551
74468,2804815.0,Mainhausen,,DE,8.98333,50.01667
74469,2804860.0,Zellberg,,DE,10.53333,52.383331
74470,2804865.0,Zell am Main,,DE,9.86972,49.810001
74471,2804867.0,Zella-Mehlis,,DE,10.65,50.650002
74472,2804876.0,Zella,,DE,10.11667,50.666672
74473,2804877.0,Zell,,DE,8.64917,49.674999
74474,2804880.0,Zell im Fichtelgebirge,,DE,11.82266,50.135319
74475,2804882.0,Zell,,DE,7.18333,50.033329
74476,2804883.0,Zell,,DE,10.56667,49.966671
74477,2804885.0,Zell,,DE,8.13972,49.64917
74478,2804895.0,Zell,,DE,8.06667,48.700001
74479,2804904.0,Zell,,DE,11.44732,47.981071
74480,2804922.0,Zeitz,,DE,12.15,51.049999
74481,2804925.0,Zeitlofs,,DE,9.66667,50.26667
74482,2804932.0,Zeitlarn,,DE,12.4,49.333328
74483,2804933.0,Zeitlarn,,DE,12.1,49.083328
74484,2804939.0,Zeithain,,DE,13.33809,51.333561
74485,2804942.0,Zeitenbach,,DE,7.91667,50.883331
74486,2804951.0,Zeiskam,,DE,8.24722,49.23278
74487,2804963.0,Zeisertsweiler,,DE,9.73333,47.583328
74488,2804979.0,Zeilsheim,,DE,8.5,50.099998
74489,2804993.0,Zeilern,,DE,11.92317,48.20763
74490,2805003.0,Zeilbach,,DE,9.15,50.633331
74491,2805006.0,Zeilarn,,DE,12.83333,48.299999
74492,2805008.0,Zeil,,DE,10.6,50.01667
74493,2805028.0,Zehren,,DE,13.4,51.200001
74494,2805038.0,Zehnruthenplan,,DE,13.28333,52.400002
74495,2805041.0,Zehnhausen bei Wallmerod,,DE,7.93333,50.466671
74496,2805042.0,Zehnhausen bei Rennerod,,DE,8.06667,50.650002
74497,2805050.0,Zehna,,DE,12.15,53.716671
74498,2805051.0,Zehmitz,,DE,12.11667,51.666672
74499,2805053.0,Zehmigkau,,DE,12.08333,51.73333
74500,2805062.0,Zehlendorf,,DE,13.38778,52.783821
74501,2805075.0,Zehdenick,,DE,13.33165,52.978519
74502,2805076.0,Zehbitz,,DE,12.13333,51.683331
74503,2805086.0,Zeestow,,DE,12.95923,52.573009
74504,2805088.0,Zeesen,,DE,13.63333,52.26667
74505,2805092.0,Zedtlitz,,DE,12.51667,51.099998
74506,2805095.0,Zedlitz,,DE,12.03333,50.816669
74507,2805103.0,Zeckern,,DE,10.93637,49.693951
74508,2805105.0,Zeckendorf,,DE,11.06667,49.950001
74509,2805106.0,Zeckenberg,,DE,11.93333,49.950001
74510,2805114.0,Zechlinerhütte,,DE,12.87357,53.15593
74511,2805119.0,Zechin,,DE,14.45251,52.608421
74512,2805138.0,Zavelstein,,DE,8.68907,48.693958
74513,2805169.0,Zauche,,DE,13.7,51.933331
74514,2805176.0,Zaschwitz,,DE,11.81667,51.583328
74515,2805182.0,Zaschendorf,,DE,13.91391,51.017429
74516,2805193.0,Zarrentin,,DE,10.91667,53.549999
74517,2805195.0,Zarrendorf,,DE,13.10094,54.236889
74518,2805198.0,Zarpen,,DE,10.51667,53.866669
74519,2805205.0,Zarnitz,,DE,13.73333,54.01667
74520,2805208.0,Zarnewanz,,DE,12.49223,54.057831
74521,2805223.0,Zappendorf,,DE,11.8,51.5
74522,2805228.0,Zapfendorf,,DE,10.93243,50.01783
74523,2805231.0,Zapel,,DE,11.66667,53.549999
74524,2805261.0,Zangberg,,DE,12.43333,48.283329
74525,2805264.0,Zandt,,DE,12.73333,49.150002
74526,2805265.0,Zandt,,DE,11.5,48.916672
74527,2805278.0,Zaisertshofen,,DE,10.53333,48.116669
74528,2805283.0,Zaisenhausen,,DE,8.81278,49.10667
74529,2805297.0,Zahsow,,DE,14.26667,51.76667
74530,2805303.0,Zahrensdorf,,DE,11.66667,53.75
74531,2805313.0,Zahna,,DE,12.78333,51.916672
74532,2805320.0,Zahlbach,,DE,10.0,50.26667
74533,2805329.0,Zadelsdorf,,DE,11.94081,50.666
74534,2805330.0,Zadels,,DE,10.38333,47.900002
74535,2805334.0,Zacking,,DE,12.31667,47.866669
74536,2805346.0,Zachow,,DE,12.78333,52.48333
74537,2805347.0,Zachersdorf,,DE,12.66667,49.0
74538,2805354.0,Zachenberg,,DE,13.0,48.966671
74539,2805361.0,Zaberfeld,,DE,8.92694,49.05611
74540,2805365.0,Zabeltitz,,DE,13.5,51.349998
74541,2805370.0,Zabakuck,,DE,12.21667,52.450001
74542,2805385.0,Xanten,,DE,6.45,51.666672
74543,2805388.0,Wymeer,,DE,7.21667,53.133331
74544,2805396.0,Wyk auf Föhr,,DE,8.56702,54.691399
74545,2805400.0,Wyhl,,DE,7.65,48.166672
74546,2805419.0,Wutöschingen,,DE,8.36667,47.666672
74547,2805448.0,Wustrow,,DE,13.15,53.48333
74548,2805449.0,Wustrow,,DE,12.9697,53.228031
74549,2805451.0,Wustrow,,DE,11.12846,52.923698
